camera_id;watch_id;sex;catch;year_of_birth;fished_before;day;year;participant_id
24;24;M;709;1955;y;1;2023;1
24;24;M;2647;1955;y;2;2023;1
37;37;M;4945;1955;y;3;2023;1
24;24;M;271;1955;y;4;2023;1
27;27;M;0;1955;y;5;2023;1
27;27;M;1694;1955;n;1;2022;1
53;53;M;346;1955;n;2;2022;1
33;33;M;253;1955;n;3;2022;1
11;11;M;224;1955;n;4;2022;1
24;24;M;306;1955;n;5;2022;1
9;9;M;1131;1952;y;1;2023;2
5;5;M;2218;1952;n;2;2023;2
43;43;M;1075;1952;y;3;2023;2
29;29;M;2910;1952;y;4;2023;2
20;20;M;1086;1952;n;5;2023;2
46;46;M;846;1952;n;1;2022;2
11;11;M;516;1952;n;2;2022;2
45;45;M;3993;1952;n;3;2022;2
43;43;M;718;1952;n;4;2022;2
3;3;M;520;1952;n;5;2022;2
39;39;M;352;1958;y;1;2023;3
55;55;M;2457;1958;y;2;2023;3
61;61;M;2265;1958;y;3;2023;3
2;2;M;1322;1958;y;4;2023;3
50;50;M;2210;1958;y;1;2022;3
28;28;M;9;1958;y;2;2022;3
12;12;M;893;1958;y;3;2022;3
10;10;M;0;1958;n;4;2022;3
9;9;M;655;1958;y;5;2022;3
21;21;M;321;1949;y;1;2023;4
61;61;M;441;1949;y;2;2023;4
51;51;M;1049;1949;y;3;2023;4
1;1;M;1243;1949;y;4;2023;4
51;51;M;227;1949;y;5;2023;4
54;54;M;882;1949;y;1;2022;4
35;35;M;335;1949;y;2;2022;4
55;55;M;891;1949;y;3;2022;4
44;44;M;51;1949;n;4;2022;4
11;11;M;450;1948;y;1;2023;5
41;41;M;804;1948;y;2;2023;5
20;20;M;1222;1948;y;3;2023;5
50;50;M;4455;1948;y;4;2023;5
34;34;M;0;1948;y;5;2023;5
35;35;M;1798;1948;y;1;2022;5
14;14;M;0;1948;y;2;2022;5
4;4;M;892;1948;y;3;2022;5
31;31;M;620;1948;y;4;2022;5
35;35;M;2116;1948;y;5;2022;5
18;18;M;257;1966;y;1;2022;6
34;34;M;571;1966;y;2;2022;6
27;27;M;448;1966;y;3;2022;6
33;33;M;233;1966;y;4;2022;6
30;30;M;66;1966;n;5;2022;6
8;8;M;872;1983;n;1;2022;7
16;16;M;210;1983;n;2;2022;7
17;17;M;446;1983;n;4;2022;7
14;14;M;51;1983;n;5;2022;7
25;25;M;84;1978;y;1;2023;8
